Zone,cnt
ĐN - Biên Hòa,44
LA - Kiến Tường,1
HCM - Bình Chánh,34
BD - Lái Thiêu,3
HCM - Bình Thạnh,92
HCM - Tân Bình,101
HCM - Gò Vấp,131
HCM - Q3,44
BD - Thuận An,27
HCM - Phú Nhuận,69
HCM - Q12,93
BD - Bến Cát,9
HCM - Bình Tân,75
HCM - Tân Phú,85
HCM - Q6,48
ĐN - Long Thành,2
HCM - Q1,35
HCM - Q10,69
BD - TDM,63
LA - Cần Giuộc,3
HCM - Củ Chi,16
BD - An Phú,2
Hà Nội,14
HCM - Q2,82
HCM - Q4,21
HCM - Q5,28
HCM - Q8,61
Đà Nẵng,1
HCM - Bình Hưng,1
LA - Cần Đước,2
HCM - Q11,56
,9
LA - Đức Hòa,6
HCM - Thủ Đức,121
ĐN - Trảng Bom,1
HCM - Hóc Môn,59
LA - Bến Lức,7
ĐN - Tân Phú,1
BD - Tân Uyên,4
LA - Tân An,11
HCM - Nhà Bè,12
Khác,465
HCM - Q9,86
HCM - Q7,122
BD - Dĩ An,26
ĐN - Trảng Dài,2
HCM - q1,1
