Zone,Count
Khác,465
HCM - Gò Vấp,131
HCM - Q7,122
HCM - Thủ Đức,121
HCM - Tân Bình,101
HCM - Q12,93
HCM - Bình Thạnh,92
HCM - Q9,86
HCM - Tân Phú,85
HCM - Q2,82
HCM - Bình Tân,75
HCM - Q10,69
HCM - Phú Nhuận,69
BD - TDM,63
HCM - Q8,61
HCM - Hóc Môn,59
HCM - Q11,56
HCM - Q6,48
HCM - Q3,44
ĐN - Biên Hòa,44
HCM - Q1,35
HCM - Bình Chánh,34
HCM - Q5,28
BD - Thuận An,27
BD - Dĩ An,26
HCM - Q4,21
HCM - Củ Chi,16
Hà Nội,14
HCM - Nhà Bè,12
LA - Tân An,11
,9
BD - Bến Cát,9
LA - Bến Lức,7
LA - Đức Hòa,6
BD - Tân Uyên,4
BD - Lái Thiêu,3
LA - Cần Giuộc,3
ĐN - Trảng Dài,2
BD - An Phú,2
ĐN - Long Thành,2
LA - Cần Đước,2
LA - Kiến Tường,1
ĐN - Trảng Bom,1
HCM - q1,1
ĐN - Tân Phú,1
Đà Nẵng,1
HCM - Bình Hưng,1
