Product Name,Quantities,Amount
[C11] C11- Que gặm gà viên (60G),108.0,3297996.0
"[C22] C22- Xương nơ da bò 6"" (60-70g)",160.0,3148704.0
"[C33] C33 - Xương nơ da bò 8"" (70-80g)",50.0,1425060.0
"[C34] C34 - Xương nơ da bò 10"" (90-100g)",50.0,1866150.0
"[C37] C37 - Xương nơ da bò 12"" (110-120g)",50.0,1934010.0
"[C36] C36 - Xương ép da bò tự nhiên 3"" (80g - 4 pcs/túi)",100.0,2985840.0
"[C35] C35 - Xương ép da bò tự nhiên 6"" (60-70g)",50.0,1187550.0
[C10-1] C10- 1 Thịt xiên que rau củ Double Kaboz,50.0,1187550.0
[E01] Lapati-Xương bàn chải hương sữa 90g ( 6pcs),540.0,7634250.0
[E02] Lapati-Xương bàn chải hương phô mai 90g ( 6pcs),540.0,7634250.0
[E03] Lapati-Xương bàn chải hương thịt gà thịt hươu 90g ( 6pcs),540.0,7634250.0
DB01-Que xoắn vị sữa gà,180.0,5496660.0
DB02 - VÒNG GẶM SẠCH RĂNG KHOAI LANG 3 VỊ,72.0,2198664.0
DB03-Ức gà sấy dinh dưỡng cho chó,72.0,2784974.0
DB04 - SƯỜN THƠM VỊ GÀ & BÒ,72.0,2442960.0
DB06-Ức gà sấy dinh dưỡng cho chó & mèo,108.0,4177462.0
