Zone
LA - Tân An
HCM - Nhà Bè
HCM - Bình Thạnh
HCM - Tân Bình
HCM - Q2
HCM - Q4
HCM - Q5
HCM - Q8
Đà Nẵng
HCM - Bình Hưng
LA - Cần Đước
HCM - Thủ Đức
ĐN - Trảng Bom
Khác
HCM - Bình Tân
HCM - Tân Phú
HCM - Q6
ĐN - Long Thành
HCM - Q11
""
HCM - Phú Nhuận
HCM - Q12
BD - Bến Cát
HCM - Gò Vấp
HCM - Q3
BD - Thuận An
HCM - Q9
HCM - Q7
BD - Dĩ An
ĐN - Trảng Dài
HCM - q1
ĐN - Biên Hòa
LA - Kiến Tường
HCM - Bình Chánh
BD - Lái Thiêu
Hà Nội
HCM - Q1
HCM - Q10
BD - TDM
LA - Cần Giuộc
HCM - Củ Chi
BD - An Phú
HCM - Hóc Môn
LA - Bến Lức
ĐN - Tân Phú
BD - Tân Uyên
LA - Đức Hòa
