Zone,count
BD - An Phú,2
BD - Bến Cát,9
BD - Dĩ An,26
BD - Lái Thiêu,3
BD - TDM,63
BD - Thuận An,27
BD - Tân Uyên,4
HCM - Bình Chánh,34
HCM - Bình Hưng,1
HCM - Bình Thạnh,92
HCM - Bình Tân,75
HCM - Củ Chi,16
HCM - Gò Vấp,131
HCM - Hóc Môn,59
HCM - Nhà Bè,12
HCM - Phú Nhuận,69
HCM - Q1,35
HCM - Q10,69
HCM - Q11,56
HCM - Q12,93
HCM - Q2,82
HCM - Q3,44
HCM - Q4,21
HCM - Q5,28
HCM - Q6,48
HCM - Q7,122
HCM - Q8,61
HCM - Q9,86
HCM - Thủ Đức,121
HCM - Tân Bình,101
HCM - Tân Phú,85
HCM - q1,1
Hà Nội,14
Khác,465
LA - Bến Lức,7
LA - Cần Giuộc,3
LA - Cần Đước,2
LA - Kiến Tường,1
LA - Tân An,11
LA - Đức Hòa,6
ĐN - Biên Hòa,44
ĐN - Long Thành,2
ĐN - Trảng Bom,1
ĐN - Trảng Dài,2
ĐN - Tân Phú,1
Đà Nẵng,1
,9
