Zone,Số lượng khách hàng
Khác,465
HCM - Gò Vấp,131
HCM - Q7,122
HCM - Thủ Đức,121
HCM - Tân Bình,101
HCM - Q12,93
HCM - Bình Thạnh,92
HCM - Q9,86
HCM - Tân Phú,85
HCM - Q2,82
HCM - Bình Tân,75
HCM - Q10,69
HCM - Phú Nhuận,69
BD - TDM,63
HCM - Q8,61
HCM - Hóc Môn,59
HCM - Q11,56
Khác,48
Khác,44
Khác,44
Khác,35
Khác,34
Khác,28
Khác,27
Khác,26
Khác,21
Khác,16
Khác,14
Khác,12
Khác,11
Khác,9
Khác,9
Khác,7
Khác,6
Khác,4
Khác,3
Khác,3
Khác,2
Khác,2
Khác,2
Khác,2
Khác,1
Khác,1
Khác,1
Khác,1
Khác,1
Khác,1
